"","pool","code","country","marst","relinc","sex","age","parent","employ","homemaker","degree","hswrk","respmom","famlife","index"
"21","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",46,"Parent","Fulltime","Homemaker","Lower secondary",4,"Yes, she worked for pay",7,0.38
"22","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",52,"Parent","Parttime","Homemaker","Upper secondary",3,"Yes, she worked for pay",6,0.38
"23","Keep All $ Separate","AR","Argentina","Married","Man primary-earner","Female",26,"Parent","Parttime","Homemaker","Primary school",4,"No",7,0.38
"24","Keep All $ Separate","AR","Argentina","Married","Woman primary-earner","Male",38,"Parent","Fulltime","Homemaker","Lower secondary",5,"No",6,0.38
"25","Keep All $ Separate","AR","Argentina","Married","Woman primary-earner","Female",41,"Parent","Fulltime","Other","Upper secondary",9,"Yes, she worked for pay",5,0.38
"26","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",48,"Nonparent","Not in labor force","Homemaker","No formal education",3,"No",6,0.38
"27","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Female",21,"Parent","Unemployed","Homemaker","Primary school",3,"No",6,0.38
"28","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",40,"Parent","Not in labor force","Homemaker","Primary school",7,"No",6,0.38
"29","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Female",18,"Parent","Student","Other","Upper secondary",5,"No",5,0.38
"30","One $ Manager","AR","Argentina","Cohab","Woman primary-earner","Male",42,"Nonparent","Fulltime","Homemaker","No formal education",4,"No",6,0.38
"31","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Female",21,"Parent","Parttime","Homemaker","Lower secondary",1,"Yes, she worked for pay",6,0.38
"32","Manage $ Together","AR","Argentina","Married","Equal-earners","Female",38,"Parent","Fulltime","Other","Upper secondary",4,"Yes, she worked for pay",7,0.38
"33","Keep All $ Separate","AR","Argentina","Cohab","Woman primary-earner","Female",48,"Parent","Parttime","Other","No formal education",0,"No",3,0.38
"34","Keep Some $ Separate","AR","Argentina","Married","Equal-earners","Male",35,"Parent","Fulltime","Other","Upper secondary",5,"No",6,0.38
"35","Keep Some $ Separate","AR","Argentina","Married","Man primary-earner","Female",33,"Parent","Fulltime","Other","Lower level tertiary",8,"Yes, she worked for pay",7,0.38
"36","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",21,"Parent","Fulltime","Other","Upper secondary",2,"Yes, she worked for pay",6,0.38
"37","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",47,"Parent","Fulltime","Homemaker","Upper secondary",8,"No",6,0.38
"38","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",34,"Parent","Fulltime","Other","Primary school",2,"No",7,0.38
"39","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",46,"Parent","Not in labor force","Other","Upper secondary",4,"No",6,0.38
"40","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Female",24,"Parent","Not in labor force","Homemaker","Lower secondary",3,"Yes, she worked for pay",6,0.38
"41","One $ Manager","AR","Argentina","Married","Woman primary-earner","Female",34,"Parent","Fulltime","Other","Upper level tertiary",4,"No",5,0.38
"42","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",54,"Nonparent","Fulltime","Homemaker","Upper secondary",6,"Yes, she worked for pay",7,0.38
"43","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",46,"Parent","Parttime","Homemaker","Upper secondary",4,"Yes, she worked for pay",5,0.38
"44","Keep All $ Separate","AR","Argentina","Married","Man primary-earner","Male",31,"Nonparent","Fulltime","Other","Lower level tertiary",4,"Yes, she worked for pay",6,0.38
"45","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",43,"Parent","Fulltime","Homemaker","Primary school",3,"No",6,0.38
"46","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",37,"Parent","Fulltime","Homemaker","Upper secondary",2,"Yes, she worked for pay",6,0.38
"47","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Male",43,"Parent","Fulltime","Homemaker","Upper secondary",5,"Yes, she worked for pay",6,0.38
"48","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Female",27,"Parent","Fulltime","Homemaker","Lower level tertiary",4,"Yes, she worked for pay",7,0.38
"49","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Male",36,"Parent","Fulltime","Other","Primary school",2,"No",6,0.38
"50","Manage $ Together","AR","Argentina","Married","Equal-earners","Female",30,"Parent","Fulltime","Homemaker","Lower secondary",2,"Yes, she worked for pay",7,0.38
"51","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",46,"Parent","Fulltime","Homemaker","Primary school",2,"Yes, she worked for pay",7,0.38
"52","One $ Manager","AR","Argentina","Cohab","Woman primary-earner","Female",29,"Parent","Parttime","Homemaker","Upper secondary",5,"Yes, she worked for pay",6,0.38
"53","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Female",43,"Nonparent","Not in labor force","Homemaker","No formal education",2,"No",7,0.38
"54","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Male",30,"Parent","Fulltime","Homemaker","Lower secondary",2,"No",5,0.38
"55","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",37,"Parent","Unemployed","Other","Upper secondary",3,"Yes, she worked for pay",6,0.38
"56","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",31,"Parent","Fulltime","Other","Primary school",5,"No",7,0.38
"57","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",32,"Parent","Not in labor force","Homemaker","Upper secondary",7,"No",6,0.38
"58","Manage $ Together","AR","Argentina","Married","Equal-earners","Male",45,"Nonparent","Fulltime","Other","Upper level tertiary",8,"Yes, she worked for pay",6,0.38
"59","One $ Manager","AR","Argentina","Married","Equal-earners","Male",47,"Parent","Parttime","Homemaker","Upper secondary",5,"Yes, she worked for pay",6,0.38
"60","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",51,"Parent","Parttime","Homemaker","Lower secondary",3,"No",6,0.38
"61","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",53,"Parent","Not in labor force","Homemaker","Lower secondary",6,"Yes, she worked for pay",6,0.38
"62","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",34,"Parent","Fulltime","Homemaker","Upper secondary",3,"Yes, she worked for pay",6,0.38
"63","One $ Manager","AR","Argentina","Married","Woman primary-earner","Female",46,"Parent","Not in labor force","Homemaker","Primary school",2,"Yes, she worked for pay",5,0.38
"64","Keep All $ Separate","AR","Argentina","Married","Woman primary-earner","Female",53,"Nonparent","Parttime","Homemaker","Primary school",4,"Yes, she worked for pay",6,0.38
"65","Keep All $ Separate","AR","Argentina","Married","Man primary-earner","Female",29,"Parent","Parttime","Homemaker","Primary school",3,"No",6,0.38
"66","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",30,"Parent","Fulltime","Homemaker","No formal education",12,"Yes, she worked for pay",6,0.38
"67","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",22,"Parent","Fulltime","Other","Upper secondary",4,"No",7,0.38
"68","Manage $ Together","AR","Argentina","Married","Equal-earners","Female",33,"Parent","Fulltime","Other","Primary school",6,"Yes, she worked for pay",6,0.38
"69","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",39,"Parent","Fulltime","Homemaker","Primary school",7,"Yes, she worked for pay",7,0.38
"70","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",51,"Parent","Fulltime","Homemaker","Primary school",6,"Yes, she worked for pay",6,0.38
"71","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",45,"Parent","Unemployed","Homemaker","Lower secondary",4,"Yes, she worked for pay",6,0.38
"72","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",25,"Parent","Fulltime","Homemaker","Upper secondary",6,"Yes, she worked for pay",6,0.38
"73","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",36,"Nonparent","Unemployed","Other","Upper secondary",9,"Yes, she worked for pay",6,0.38
"74","Keep All $ Separate","AR","Argentina","Married","Woman primary-earner","Female",54,"Nonparent","Fulltime","Homemaker","Primary school",9,"No",6,0.38
"75","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",21,"Parent","Not in labor force","Homemaker","Lower secondary",3,"Yes, she worked for pay",6,0.38
"76","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",25,"Nonparent","Fulltime","Other","Lower secondary",6,"Yes, she worked for pay",6,0.38
"77","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",33,"Parent","Parttime","Homemaker","Lower level tertiary",5,"No",6,0.38
"78","Keep All $ Separate","AR","Argentina","Married","Equal-earners","Female",39,"Parent","Fulltime","Homemaker","Upper secondary",2,"Yes, she worked for pay",7,0.38
"79","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",45,"Nonparent","Fulltime","Homemaker","Lower secondary",6,"Yes, she worked for pay",6,0.38
"80","One $ Manager","AR","Argentina","Married","Woman primary-earner","Female",37,"Nonparent","Fulltime","Other","Lower secondary",8,"Yes, she worked for pay",6,0.38
"81","Manage $ Together","AR","Argentina","Married","Equal-earners","Female",36,"Parent","Fulltime","Other","Lower level tertiary",7,"Yes, she worked for pay",7,0.38
"82","Keep Some $ Separate","AR","Argentina","Married","Woman primary-earner","Female",29,"Parent","Fulltime","Other","Lower level tertiary",5,"No",7,0.38
"83","Keep Some $ Separate","AR","Argentina","Cohab","Woman primary-earner","Male",36,"Nonparent","Fulltime","Other","Upper secondary",5,"No",7,0.38
"84","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",32,"Parent","Fulltime","Other","Primary school",2,"Yes, she worked for pay",7,0.38
"85","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",39,"Parent","Fulltime","Other","Lower secondary",7,"Yes, she worked for pay",6,0.38
"86","Manage $ Together","AR","Argentina","Married","Equal-earners","Female",26,"Nonparent","Fulltime","Other","Upper secondary",4,"No",6,0.38
"87","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",50,"Nonparent","Fulltime","Other","Upper secondary",4,"Yes, she worked for pay",6,0.38
"88","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",19,"Parent","Not in labor force","Homemaker","Lower secondary",6,"Yes, she worked for pay",6,0.38
"89","One $ Manager","AR","Argentina","Cohab","Woman primary-earner","Female",34,"Parent","Fulltime","Homemaker","Primary school",9,"No",7,0.38
"90","One $ Manager","AR","Argentina","Cohab","Woman primary-earner","Female",48,"Nonparent","Parttime","Homemaker","Primary school",0,"Yes, she worked for pay",7,0.38
"91","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",38,"Nonparent","Unemployed","Homemaker","Upper secondary",2,"Yes, she worked for pay",7,0.38
"92","Keep All $ Separate","AR","Argentina","Married","Equal-earners","Female",34,"Parent","Fulltime","Other","Upper secondary",4,"No",7,0.38
"93","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",34,"Parent","Parttime","Homemaker","Lower secondary",3,"Yes, she worked for pay",5,0.38
"94","Keep All $ Separate","AR","Argentina","Married","Man primary-earner","Female",26,"Parent","Fulltime","Other","Upper secondary",6,"Yes, she worked for pay",4,0.38
"95","Keep All $ Separate","AR","Argentina","Cohab","Equal-earners","Female",47,"Nonparent","Fulltime","Homemaker","Primary school",3,"No",7,0.38
"96","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",31,"Parent","Not in labor force","Homemaker","Upper secondary",3,"Yes, she worked for pay",7,0.38
"97","Keep Some $ Separate","AR","Argentina","Cohab","Equal-earners","Male",29,"Parent","Fulltime","Homemaker","Lower secondary",3,"Yes, she worked for pay",5,0.38
"98","Keep Some $ Separate","AR","Argentina","Cohab","Man primary-earner","Male",54,"Nonparent","Fulltime","Other","Primary school",4,"Yes, she worked for pay",6,0.38
"99","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Male",20,"Parent","Fulltime","Other","Lower secondary",3,"Yes, she worked for pay",7,0.38
"100","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Female",41,"Parent","Not in labor force","Homemaker","Upper secondary",2,"No",6,0.38
"101","Keep All $ Separate","AR","Argentina","Cohab","Man primary-earner","Male",31,"Parent","Fulltime","Homemaker","Upper secondary",7,"Yes, she worked for pay",5,0.38
"102","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",34,"Parent","Not in labor force","Other","Lower secondary",4,"No",7,0.38
"103","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Male",33,"Parent","Fulltime","Homemaker","Lower secondary",2,"Yes, she worked for pay",7,0.38
"104","Manage $ Together","AR","Argentina","Cohab","Woman primary-earner","Female",40,"Parent","Unemployed","Other","Lower secondary",0,"Yes, she worked for pay",5,0.38
"105","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Female",31,"Parent","Parttime","Homemaker","Upper secondary",3,"No",6,0.38
"106","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Female",38,"Parent","Not in labor force","Homemaker","No formal education",2,"Yes, she worked for pay",6,0.38
"107","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Male",31,"Nonparent","Fulltime","Other","No formal education",5,"Yes, she worked for pay",7,0.38
"108","Manage $ Together","AR","Argentina","Cohab","Equal-earners","Male",36,"Nonparent","Fulltime","Other","Upper secondary",7,"Yes, she worked for pay",6,0.38
"109","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Female",29,"Parent","Fulltime","Homemaker","Primary school",5,"Yes, she worked for pay",6,0.38
"110","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Female",31,"Parent","Not in labor force","Homemaker","Primary school",2,"Yes, she worked for pay",5,0.38
"111","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Female",40,"Parent","Not in labor force","Homemaker","Primary school",2,"Yes, she worked for pay",5,0.38
"112","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Male",41,"Parent","Fulltime","Homemaker","Lower secondary",3,"Yes, she worked for pay",7,0.38
"113","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",46,"Parent","Fulltime","Homemaker","Lower secondary",5,"No",6,0.38
"114","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",40,"Parent","Fulltime","Homemaker","Lower level tertiary",6,"No",6,0.38
"115","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Male",42,"Parent","Fulltime","Homemaker","Primary school",6,"Yes, she worked for pay",7,0.38
"116","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Male",28,"Parent","Fulltime","Homemaker","Lower secondary",7,"Yes, she worked for pay",6,0.38
"117","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",43,"Parent","Fulltime","Homemaker","Lower secondary",3,"No",6,0.38
"118","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Female",35,"Parent","Parttime","Homemaker","Primary school",2,"Yes, she worked for pay",5,0.38
"119","Manage $ Together","AR","Argentina","Cohab","Woman primary-earner","Female",39,"Parent","Parttime","Homemaker","Upper secondary",3,"No",6,0.38
"120","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Male",49,"Nonparent","Not in labor force","Other","Primary school",6,"Yes, she worked for pay",5,0.38
"121","Keep Some $ Separate","AR","Argentina","Married","Man primary-earner","Female",50,"Parent","Parttime","Homemaker","Lower level tertiary",5,"No",6,0.38
"122","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Male",19,"Parent","Fulltime","Homemaker","Primary school",3,"Yes, she worked for pay",6,0.38
"123","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",46,"Parent","Parttime","Other","Primary school",7,"Yes, she worked for pay",6,0.38
"124","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Female",25,"Parent","Fulltime","Other","Upper secondary",2,"No",5,0.38
"125","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",48,"Nonparent","Unemployed","Homemaker","Lower level tertiary",2,"Yes, she worked for pay",5,0.38
"126","Keep All $ Separate","AR","Argentina","Cohab","Equal-earners","Female",25,"Parent","Parttime","Homemaker","Upper secondary",6,"Yes, she worked for pay",7,0.38
"127","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Male",28,"Parent","Fulltime","Homemaker","Lower secondary",7,"Yes, she worked for pay",7,0.38
"128","Keep Some $ Separate","AR","Argentina","Cohab","Equal-earners","Male",38,"Nonparent","Fulltime","Other","Upper secondary",5,"No",6,0.38
"129","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",28,"Parent","Fulltime","Homemaker","Lower level tertiary",7,"Yes, she worked for pay",6,0.38
"130","Keep Some $ Separate","AR","Argentina","Cohab","Woman primary-earner","Female",30,"Nonparent","Fulltime","Other","Upper level tertiary",6,"Yes, she worked for pay",6,0.38
"131","Manage $ Together","AR","Argentina","Married","Woman primary-earner","Male",41,"Parent","Parttime","Other","Upper level tertiary",7,"Yes, she worked for pay",7,0.38
"132","Keep Some $ Separate","AR","Argentina","Married","Equal-earners","Female",35,"Nonparent","Fulltime","Other","Upper level tertiary",8,"Yes, she worked for pay",7,0.38
"133","Manage $ Together","AR","Argentina","Married","Equal-earners","Female",54,"Nonparent","Fulltime","Other","Upper secondary",6,"Yes, she worked for pay",6,0.38
"134","Keep Some $ Separate","AR","Argentina","Cohab","Woman primary-earner","Female",37,"Parent","Fulltime","Other","Upper level tertiary",5,"Yes, she worked for pay",6,0.38
"135","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",36,"Parent","Fulltime","Homemaker","Upper secondary",7,"Yes, she worked for pay",7,0.38
"136","Manage $ Together","AR","Argentina","Cohab","Woman primary-earner","Male",43,"Parent","Unemployed","Homemaker","Lower secondary",6,"No",6,0.38
"137","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Male",29,"Parent","Unemployed","Homemaker","Upper secondary",6,"No",6,0.38
"138","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",43,"Parent","Fulltime","Homemaker","Upper secondary",6,"No",5,0.38
"139","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Female",32,"Parent","Not in labor force","Homemaker","Primary school",1,"Yes, she worked for pay",6,0.38
"140","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",53,"Nonparent","Not in labor force","Other","No formal education",0,"No",6,0.38
"141","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",31,"Parent","Student","Homemaker","Upper secondary",3,"Yes, she worked for pay",7,0.38
"142","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",42,"Parent","Fulltime","Homemaker","Upper secondary",5,"Yes, she worked for pay",6,0.38
"143","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Male",49,"Parent","Fulltime","Homemaker","Primary school",3,"No",6,0.38
"144","Manage $ Together","AR","Argentina","Cohab","Woman primary-earner","Male",43,"Parent","Fulltime","Homemaker","Primary school",6,"Yes, she worked for pay",7,0.38
"145","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",41,"Parent","Fulltime","Homemaker","Upper secondary",6,"No",6,0.38
"146","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",38,"Parent","Unemployed","Homemaker","Primary school",5,"No",5,0.38
"147","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Male",36,"Parent","Fulltime","Homemaker","Upper secondary",3,"Yes, she worked for pay",6,0.38
"148","Keep All $ Separate","AR","Argentina","Married","Equal-earners","Male",48,"Parent","Fulltime","Other","Lower secondary",4,"Yes, she worked for pay",5,0.38
"149","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",44,"Parent","Fulltime","Homemaker","Upper secondary",4,"No",7,0.38
"150","Keep Some $ Separate","AR","Argentina","Cohab","Equal-earners","Female",46,"Nonparent","Fulltime","Homemaker","Lower secondary",4,"No",4,0.38
"151","Manage $ Together","AR","Argentina","Married","Woman primary-earner","Female",52,"Nonparent","Fulltime","Other","Upper level tertiary",7,"No",7,0.38
"152","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",37,"Parent","Fulltime","Other","Lower level tertiary",7,"Yes, she worked for pay",7,0.38
"153","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",31,"Parent","Fulltime","Homemaker","No formal education",6,"Yes, she worked for pay",6,0.38
"154","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",29,"Parent","Not in labor force","Homemaker","Upper secondary",3,"No",7,0.38
"155","Keep Some $ Separate","AR","Argentina","Married","Equal-earners","Male",27,"Parent","Fulltime","Homemaker","Lower level tertiary",7,"Yes, she worked for pay",6,0.38
"156","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",31,"Nonparent","Unemployed","Other","Upper secondary",6,"Yes, she worked for pay",7,0.38
"157","Manage $ Together","AR","Argentina","Married","Woman primary-earner","Male",32,"Nonparent","Fulltime","Other","Upper secondary",7,"No",7,0.38
"158","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",54,"Nonparent","Not in labor force","Homemaker","Primary school",4,"Yes, she worked for pay",5,0.38
"159","Manage $ Together","AR","Argentina","Married","Equal-earners","Male",32,"Nonparent","Fulltime","Other","Lower level tertiary",7,"Yes, she worked for pay",7,0.38
"160","Keep All $ Separate","AR","Argentina","Married","Man primary-earner","Female",40,"Parent","Fulltime","Homemaker","Lower secondary",2,"Yes, she worked for pay",6,0.38
"161","Manage $ Together","AR","Argentina","Married","Woman primary-earner","Male",41,"Parent","Fulltime","Other","Lower level tertiary",7,"Yes, she worked for pay",5,0.38
"162","Keep All $ Separate","AR","Argentina","Married","Equal-earners","Female",28,"Parent","Fulltime","Other","Upper secondary",3,"Yes, she worked for pay",6,0.38
"163","Keep All $ Separate","AR","Argentina","Cohab","Man primary-earner","Female",27,"Parent","Fulltime","Homemaker","Lower level tertiary",4,"No",7,0.38
"164","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",43,"Parent","Fulltime","Homemaker","Lower secondary",2,"No",6,0.38
"165","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",31,"Parent","Parttime","Homemaker","Upper secondary",4,"No",6,0.38
"166","Keep Some $ Separate","AR","Argentina","Married","Man primary-earner","Male",49,"Parent","Fulltime","Homemaker","Primary school",2,"Yes, she worked for pay",6,0.38
"167","Keep All $ Separate","AR","Argentina","Married","Equal-earners","Female",37,"Parent","Fulltime","Homemaker","Upper secondary",1,"Yes, she worked for pay",5,0.38
"168","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",28,"Parent","Not in labor force","Homemaker","Upper secondary",4,"Yes, she worked for pay",7,0.38
"169","Keep All $ Separate","AR","Argentina","Cohab","Woman primary-earner","Female",33,"Parent","Fulltime","Homemaker","Upper secondary",1,"Yes, she worked for pay",6,0.38
"170","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",31,"Parent","Unemployed","Homemaker","Lower secondary",1,"Yes, she worked for pay",7,0.38
"171","Keep All $ Separate","AR","Argentina","Married","Man primary-earner","Female",45,"Parent","Parttime","Homemaker","Lower level tertiary",5,"Yes, she worked for pay",6,0.38
"172","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",44,"Parent","Fulltime","Other","Lower level tertiary",4,"Yes, she worked for pay",6,0.38
"173","Keep Some $ Separate","AR","Argentina","Cohab","Man primary-earner","Female",21,"Parent","Parttime","Homemaker","Primary school",4,"Yes, she worked for pay",6,0.38
"174","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Male",42,"Parent","Fulltime","Homemaker","Lower level tertiary",6,"Yes, she worked for pay",6,0.38
"175","Manage $ Together","AR","Argentina","Cohab","Man primary-earner","Female",40,"Nonparent","Parttime","Other","Lower level tertiary",2,"No",5,0.38
"176","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",34,"Parent","Parttime","Other","Upper secondary",5,"No",7,0.38
"177","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",24,"Parent","Fulltime","Homemaker","Upper secondary",2,"No",7,0.38
"178","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Female",34,"Parent","Parttime","Homemaker","Primary school",4,"No",7,0.38
"179","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Female",18,"Parent","Not in labor force","Homemaker","Lower secondary",4,"No",6,0.38
"180","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",40,"Parent","Fulltime","Homemaker","Upper secondary",2,"No",7,0.38
"181","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Male",37,"Parent","Fulltime","Homemaker","No formal education",6,"Yes, she worked for pay",6,0.38
"182","Keep Some $ Separate","AR","Argentina","Married","Woman primary-earner","Female",33,"Nonparent","Fulltime","Other","Lower level tertiary",5,"No",7,0.38
"183","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",34,"Parent","Not in labor force","Homemaker","Primary school",6,"Yes, she worked for pay",6,0.38
"184","One $ Manager","AR","Argentina","Cohab","Man primary-earner","Female",23,"Parent","Not in labor force","Homemaker","Upper secondary",2,"Yes, she worked for pay",6,0.38
